#,Name,Difficult,Priority,Status,Tags,link,source,practicedTimes
1,Two Sum,Easy,Pass,,"2pt_DiffDir, Hash",https://leetcode.com/problems/two-sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初TwoPointers",1
3,Longest Substring Without Repeating Characters,Medium,Medium,,"2pt_SameDir_maxWin_chkValidBfrR, Hash, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ",1
4,Median of Two Sorted Arrays,Hard,High,,"BS_Idx, kth",https://leetcode.com/problems/median-of-two-sorted-arrays/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array, 算初Tree Divide&Conquer",1
6,[lint] Merge Two Sorted Arrays,Easy,Pass,,"Array, Merge",https://www.lintcode.com/problem/6/,"jiuzhang, 算初LinkedList&Array",1
8,[lint] Rotate String,Easy,Low,,3 Step Rotate,https://www.lintcode.com/problem/rotate-string,"jiuzhang, 算初BS, 算初TwoPointers",1
11,[lint] Search Range in Binary Search Tree,Medium,High,,"DFS, Tree",https://www.lintcode.com/problem/11/,"jiuzhang, 算初Tree Divide&Conquer",1
12,Integer to Roman,Medium,Pass,,"Hash, string",https://leetcode.com/problems/integer-to-roman/,"LC_Top_Interview_150, googleFreq",1
13,Roman to Integer,Easy,Pass,,"Hash, Math, string",https://leetcode.com/problems/roman-to-integer/,"HuaHua, LC_Top_Interview_150, googleFreq",1
15,3Sum,Medium,Pass,,"2pt, 2pt_DiffDir, Hash",https://leetcode.com/problems/3sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, wisdompeak, 算初TwoPointers",1
16,3Sum Closest,Medium,Pass,,"2pt, 2pt_DiffDir",https://leetcode.com/problems/3sum-closest/,"HuaHua, jiuzhang, wisdompeak, 算初TwoPointers",1
17,Letter Combinations of a Phone Number,Medium,Low,,"BackTracking, search",https://leetcode.com/problems/letter-combinations-of-a-phone-number/,"HuaHua, LC_75, LC_Top_Interview_150, googleFreq, leetcode_daily",
18,4Sum,Medium,Pass,,"2pt, 2pt_DiffDir",https://leetcode.com/problems/4sum/,"jiuzhang, wisdompeak, 算初TwoPointers",1
19,Remove Nth Node From End of List,Medium,Pass,,"2pt_SameDir_sameSpeed, LinkedList",https://leetcode.com/problems/remove-nth-node-from-end-of-list/,"LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ",1
20,Valid Parentheses,Easy,Pass,,stack,https://leetcode.com/problems/valid-parentheses/,"LC_Top_Interview_150, googleFreq",1
21,Merge Two Sorted Lists,Easy,Pass,,"LinkedList, mergeList",https://leetcode.com/problems/merge-two-sorted-lists,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
