Name,#,Created time,Difficult,Last edited time,Priority,Status,Tags,link,practicedTimes,related,source
Edit Distance,72,"September 10, 2022 10:10 AM",Hard,"October 29, 2023 9:07 PM",High,,"DP, Matrix, StringMatchToMatrix, dp-TwoSeq, string",https://leetcode.com/problems/edit-distance/,1,,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP上, 算高DP下"
Distinct Subsequences,115,"September 15, 2022 8:57 PM",Hard,"October 12, 2023 2:56 PM",Medium,,"DP, StringMatchToMatrix, dp-TwoSeq",https://leetcode.com/problems/distinct-subsequences/,,,"HuaHua, jiuzhang, wp动归套路, 算高DP下"
Interleaving String,97,"September 15, 2022 9:25 PM",Medium,"October 29, 2023 10:48 PM",Medium,More Solution,"DP, StringMatchToMatrix, TopSorting, dp-TwoSeq",https://leetcode.com/problems/interleaving-string/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP下"
Shortest Common Supersequence,1092,"November 20, 2022 7:29 PM",Hard,"October 12, 2023 2:56 PM",Low,More Solution,dp-TwoSeq,https://leetcode.com/problems/shortest-common-supersequence/,,,"HuaHua, wp动归套路"
Delete Operation for Two Strings,583,"November 20, 2022 11:38 PM",Medium,"October 12, 2023 2:56 PM",Pass,dup,dp-TwoSeq,https://leetcode.com/problems/delete-operation-for-two-strings/,,Minimum ASCII Delete Sum for Two Strings (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Minimum%20ASCII%20Delete%20Sum%20for%20Two%20Strings%20870c0b8470764dd9bbad16dadb83505a.csv),"HuaHua, wp动归套路"
Minimum ASCII Delete Sum for Two Strings,712,"November 21, 2022 12:20 AM",Medium,"October 12, 2023 2:56 PM",Low,,dp-TwoSeq,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/,,Delete Operation for Two Strings (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Delete%20Operation%20for%20Two%20Strings%207c71f3a27e594920b0e09f631632797d.csv),"HuaHua, leetcode_daily, wp动归套路"
Minimum Insertion Steps to Make a String Palindrome,1312,"November 21, 2022 11:25 AM",Hard,"October 12, 2023 2:56 PM",Low,dup,dp-TwoSeq,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,,Longest Palindromic Substring (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20Palindromic%20Substring%20ea1a3cc3811747edba0fc9d58fe1d494.csv),"HuaHua, wp动归套路"
House Robber,198,"September 9, 2022 12:06 PM",Medium,"October 29, 2023 10:31 PM",Pass,,"Array, DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/house-robber/,1,"House Robber III (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/House%20Robber%20III%203c624936740141239137d7cddd7f397f.csv), Delete and Earn (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Delete%20and%20Earn%20143e9e383cac4a1ebe91ff78831845a4.csv)","HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP上"
House Robber II,213,"September 9, 2022 12:14 PM",Medium,"October 29, 2023 9:06 PM",Pass,,"Array, DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/house-robber-ii/,1,,"HuaHua, jiuzhang, wp动归套路, 算高DP上"
Longest Increasing Subsequence,300,"August 18, 2022 11:47 AM",Medium,"October 22, 2023 12:20 AM",High,"More Solution, toRevisit","Array, BS_todo, DP, GoForth, PatienceSort, UsePreResults, dp-TimeSeqFromLastX",https://leetcode.com/problems/longest-increasing-subsequence/,1,"Number of Longest Increasing Subsequence (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Number%20of%20Longest%20Increasing%20Subsequence%20002a704f8f96414397bb7945631700c7.csv), Longest String Chain (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20String%20Chain%20454f01bd38334ac2addfd34384e6b23b.csv)","HuaHua, LC_Top_Interview_150, jiuzhang, wp动归套路, 算初DP"
Filling Bookcase Shelves,1105,"October 30, 2022 8:39 PM",Medium,"October 12, 2023 2:56 PM",High,"HardToImplement, More Solution","DP, dp-TimeSeqFromLastX",https://leetcode.com/problems/filling-bookcase-shelves/,,,"HuaHua, wp动归套路"
Best Time to Buy and Sell Stock with Cooldown,309,"September 29, 2022 12:42 AM",Medium,"October 12, 2023 2:56 PM",High,More Solution,"DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,,Best Time to Buy and Sell Stock (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Best%20Time%20to%20Buy%20and%20Sell%20Stock%20fec2d505349445dea1d7e454cc9d0a5a.csv),"HuaHua, wp动归套路"
Burst Balloons,312,"September 10, 2022 11:20 AM",Hard,"October 12, 2023 2:56 PM",Low,,"Array, DP, dp-Pyr",https://leetcode.com/problems/burst-balloons/,,,"HuaHua, jiuzhang, wp动归套路, 算高DP下"
Palindrome Partitioning III,1278,"December 1, 2022 3:54 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,"dp-K_Ranges, string",https://leetcode.com/problems/palindrome-partitioning-iii/,,,"HuaHua, wp动归套路"
Largest Sum of Averages,813,"December 1, 2022 4:13 PM",Medium,"October 12, 2023 2:56 PM",Medium,,dp-K_Ranges,https://leetcode.com/problems/largest-sum-of-averages/,,,"HuaHua, wp动归套路"
Split Array Largest Sum,410,"December 4, 2022 11:50 PM",Hard,"October 12, 2023 2:56 PM",Medium,,"BS_todo, Greedy, dp-K_Ranges",https://leetcode.com/problems/split-array-largest-sum/,,,"HuaHua, wp动归套路"
Minimum Cost to Merge Stones,1000,"December 20, 2022 9:56 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,"dp-K_Ranges, dp-Pyr",https://leetcode.com/problems/minimum-cost-to-merge-stones/,,,"HuaHua, wp动归套路"
Longest Palindromic Subsequence,516,"December 12, 2022 11:15 PM",Medium,"October 28, 2023 12:40 AM",Medium,,dp-Pyr,https://leetcode.com/problems/longest-palindromic-subsequence/,,"Longest Palindromic Substring (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20Palindromic%20Substring%20ea1a3cc3811747edba0fc9d58fe1d494.csv), Valid Palindrome III (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Valid%20Palindrome%20III%20517a78a10eeb4597af212af8b9e8f366.csv)","HuaHua, wp动归套路"
Target Sum,494,"December 31, 2022 4:55 PM",Medium,"October 12, 2023 2:56 PM",High,Dig More,dp-backpack,https://leetcode.com/problems/target-sum/,,Last Stone Weight II (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Last%20Stone%20Weight%20II%20d176e566332940948976aaca36fd3d1a.csv),"HuaHua, wp动归套路"
Tallest Billboard,956,"January 9, 2023 10:54 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,dp-backpack,https://leetcode.com/problems/tallest-billboard/,,Painting the Walls (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Painting%20the%20Walls%204b6e131cda2142f28962adfa49d05bed.csv),"HuaHua, wp动归套路"
Profitable Schemes,879,"January 3, 2023 10:44 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,dp-backpack,https://leetcode.com/problems/profitable-schemes/,,,"HuaHua, wp动归套路"
Smallest Sufficient Team,1125,"January 12, 2023 6:37 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,"BitMask, dp-backpack, dp-bitMask",https://leetcode.com/problems/smallest-sufficient-team/,,,"HuaHua, leetcode_daily, wp动归套路"
Find the Shortest Superstring,943,"March 14, 2023 9:52 PM",Hard,"October 12, 2023 2:56 PM",High,,"Graph, Permutation, TSP/HamiltonianPath, complete_graph, dp-bitMask, search",https://leetcode.com/problems/find-the-shortest-superstring/,,Number of Squareful Arrays (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Number%20of%20Squareful%20Arrays%200de26cd61dca45819145a897da4cda1b.csv),"HuaHua, wp动归套路"
Maximum Students Taking Exam,1349,"January 14, 2023 5:03 PM",Hard,"October 12, 2023 2:56 PM",High,Dig More,"dp-TimeSeqFromLastOne-Power, dp-bitMask",https://leetcode.com/problems/maximum-students-taking-exam/,,,"HuaHua, wp动归套路"
Super Egg Drop,887,"May 19, 2023 12:25 PM",Hard,"October 17, 2023 6:24 PM",High,"No Idea At First, NotUnderstand, noPatten, out of scope, toRevisit","BS_todo, dp-noPattern",https://leetcode.com/problems/super-egg-drop/,,,"HuaHua, wp动归套路"
Stone Game II,1140,"May 25, 2023 10:08 PM",Medium,"October 12, 2023 2:56 PM",High,"More Solution, toRevisit","DP, Game",https://leetcode.com/problems/stone-game-ii/,,,"HuaHua, leetcode_daily"
Stone Game III,1406,"May 26, 2023 6:21 PM",Hard,"October 12, 2023 2:56 PM",Medium,,"Game, dp-TimeSeqFromLastOne-Power",https://leetcode.com/problems/stone-game-iii/,,,"HuaHua, leetcode_daily"
Stone Game VII,1690,"June 19, 2023 1:55 PM",Hard,"October 12, 2023 2:56 PM",High,,Game,https://leetcode.com/problems/stone-game-vii/,,,HuaHua
Binary Search,704,"June 24, 2022 6:17 PM",Easy,"October 13, 2023 11:26 PM",Pass,,BS_Idx,https://leetcode.com/problems/binary-search/,1,,"HuaHua, jiuzhang, 算初BS"
Find Minimum in Rotated Sorted Array,153,"June 26, 2022 11:00 AM",Medium,"October 12, 2023 2:57 PM",Medium,,"BS_Idx, Divide and Conquer",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,1,Find Minimum in Rotated Sorted Array II (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20Minimum%20in%20Rotated%20Sorted%20Array%20II%207d3fc5585d744ed6b420a83fa07fb508.csv),"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BS"
Search in Rotated Sorted Array,33,"July 8, 2022 12:32 PM",Medium,"October 12, 2023 2:57 PM",Low,,BS_Idx,https://leetcode.com/problems/search-in-rotated-sorted-array/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, leetcode_daily, 算初BS"
Balanced Binary Tree,110,"July 8, 2022 4:26 PM",Easy,"October 12, 2023 3:41 PM",Low,,"Divide and Conquer, Tree, toNull",https://leetcode.com/problems/balanced-binary-tree,1,,"HuaHua, jiuzhang, 算初Tree Divide&Conquer"
Binary Tree Preorder Traversal,144,"July 8, 2022 4:26 PM",Easy,"October 12, 2023 3:41 PM",Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-preorder-traversal/,1,,"HuaHua, jiuzhang, 算初Tree Divide&Conquer"
Binary Tree Postorder Traversal,145,"July 8, 2022 4:26 PM",Easy,"October 12, 2023 3:41 PM",Low,,"Iterate, Tree",https://leetcode.com/problems/binary-tree-postorder-traversal/,1,,"HuaHua, jiuzhang, 算初Tree Divide&Conquer"
