#,Name,Difficult,Priority,Status,Tags,link,source,practicedTimes
129,Sum Root to Leaf Numbers,Medium,Pass,,"DFS, Tree",https://leetcode.com/problems/sum-root-to-leaf-numbers/,"HuaHua, LC_Top_Interview_150",1
427,Construct Quad Tree,Medium,High,,"Array, Divide and Conquer, Matrix, Tree",https://leetcode.com/problems/construct-quad-tree/,LC_Top_Interview_150,
502,IPO,Hard,High,"Dig More, toSummarize","Array, DP, Greedy, PQ, Sort",https://leetcode.com/problems/ipo/,LC_Top_Interview_150,
909,Snakes and Ladders,Medium,High,No Idea At First,"Array, BFS, Graph, Matrix",https://leetcode.com/problems/snakes-and-ladders/,LC_Top_Interview_150,
399,Evaluate Division,Medium,High,"HardToImplement, More Solution","BFS, DFS, Graph, Union Find",https://leetcode.com/problems/evaluate-division/,"HuaHua, LC_75, LC_Top_Interview_150",
199,Binary Tree Right Side View,Medium,Low,,"BFS, Tree",https://leetcode.com/problems/binary-tree-right-side-view/,"LC_75, LC_Top_Interview_150",
222,Count Complete Tree Nodes,Medium,Medium,More Solution,"BS_todo, DFS, Tree",https://leetcode.com/problems/count-complete-tree-nodes/,"HuaHua, LC_Top_Interview_150",
433,Minimum Genetic Mutation,Medium,Low,dup,"BFS, Graph, Hash, string",https://leetcode.com/problems/minimum-genetic-mutation/,LC_Top_Interview_150,
373,Find K Pairs with Smallest Sums,Medium,High,"No Idea At First, toSummarize",PQ,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,LC_Top_Interview_150,
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,Low,,"Divide and Conquer, Tree",https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,LC_Top_Interview_150,
52,N-Queens II,Hard,Low,,BackTracking,https://leetcode.com/problems/n-queens-ii/,LC_Top_Interview_150,
637,Average of Levels in Binary Tree,Easy,Pass,,"BFS, Tree",https://leetcode.com/problems/average-of-levels-in-binary-tree/,"HuaHua, LC_Top_Interview_150",InProgress
322,Coin Change,Medium,Medium,More Solution,"BFS, dp-backpack, search",https://leetcode.com/problems/coin-change/,"HuaHua, LC_Top_Interview_150",
530,Minimum Absolute Difference in BST,Easy,Pass,,Tree,https://leetcode.com/problems/minimum-absolute-difference-in-bst/,"HuaHua, LC_Top_Interview_150",
