Name,#,Created time,Difficult,Last edited time,Priority,Status,Tags,link,practicedTimes,related,source
Subarray Product Less Than K,713,"May 12, 2023 2:43 AM",Medium,"December 8, 2023 6:57 PM",Medium,toSummarize,"2pt_SameDir_maxWin_chkValidAftR, Array","Given an array of integers nums and an integer k, return the number of contiguous subarrays where the product of all the elements in the subarray is strictly less than k.",,,"facebookFreq, wisdompeak"
Contiguous Array,525,"June 27, 2023 9:26 PM",Medium,"December 8, 2023 6:28 PM",High,No Idea At First,"Array, Hash, Prefix",https://leetcode.com/problems/contiguous-array/description/,,,"HuaHua, facebookFreq"
Delete Nodes And Return Forest,1110,"June 27, 2023 11:47 PM",Medium,"December 8, 2023 6:04 PM",Medium,More Solution,"Array, BFS, DFS, Hash, Tree",https://leetcode.com/problems/delete-nodes-and-return-forest/description/,,,"HuaHua, facebookFreq"
Smallest Subtree with all the Deepest Nodes,865,"June 27, 2023 11:48 PM",Medium,"December 8, 2023 5:47 PM",Low,More Solution,"BFS, DFS, Hash, Tree",https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,,,"HuaHua, facebookFreq"
Palindromic Substrings,647,"November 23, 2023 2:57 AM",Medium,"November 23, 2023 2:58 AM",Low,,"DP, string",https://leetcode.com/problems/palindromic-substrings/description/,,,facebookFreq
Minimum Remove to Make Valid Parentheses,1249,"November 23, 2023 3:17 AM",Medium,"November 23, 2023 3:18 AM",Low,checkBetterSolution,"stack, string",https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/description/,,,facebookFreq
Buildings With an Ocean View,1762,"November 23, 2023 3:22 AM",Medium,"November 23, 2023 3:22 AM",Low,More Solution,"Array, monotonic, stack",https://leetcode.com/problems/buildings-with-an-ocean-view/description/,,,facebookFreq
Dot Product of Two Sparse Vectors,1570,"November 29, 2023 11:58 PM",Medium,"November 29, 2023 11:59 PM",Medium,,"2pt, Array, Design, Hash",https://leetcode.com/problems/dot-product-of-two-sparse-vectors/,,,facebookFreq
Custom Sort String,791,"December 2, 2023 4:00 PM",Medium,"December 2, 2023 4:00 PM",Low,,"Hash, Sort, string",https://leetcode.com/problems/custom-sort-string/description/,,,facebookFreq
Range Sum of BST,938,"December 2, 2023 4:08 PM",Easy,"December 2, 2023 4:09 PM",Low,,"BST, DFS, Tree",https://leetcode.com/problems/range-sum-of-bst/description/,,,facebookFreq
