Name,#,Created time,Difficult,Last edited time,Priority,Status,Tags,link,practicedTimes,related,source
Reverse Pairs,493,"December 18, 2023 10:16 PM",Hard,"December 19, 2023 7:15 PM",High,"out of scope, toSummarize, todo","Array, BS_todo, BinaryIndexedTree, Divide and Conquer, MergeSort, OrderSet, SegmentTree_todo",https://leetcode.com/problems/reverse-pairs/description/,,"Find Building Where Alice and Bob Can Meet (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20Building%20Where%20Alice%20and%20Bob%20Can%20Meet%20541c5473515546d8adc8aa52d8893d9f.csv), Count of Smaller Numbers After Self (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Count%20of%20Smaller%20Numbers%20After%20Self%2075fdf98937154c5ab2f3f09e4f4f42db.csv)",googleFreq
Partition Array Into Two Arrays to Minimize Sum Difference,2035,"December 18, 2023 7:48 PM",Hard,"December 18, 2023 7:54 PM",High,"Dig More, HardToImplement, No Idea At First, out of scope, toSummarize, todo","2pt, Array, BS_todo, Bit Manipulation, BitMask, DP, OrderSet",https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/description/,,,googleFreq
Sentence Screen Fitting,418,"December 6, 2023 3:39 AM",Medium,"December 6, 2023 3:49 AM",High,"HardToImplement, todo","DP, simulation, string",https://leetcode.com/problems/sentence-screen-fitting/description/,,,ticktokFreq
Count the Number of Infection Sequences,2954,"December 4, 2023 12:03 PM",Hard,"December 4, 2023 12:03 PM",,todo,,https://leetcode.com/problems/count-the-number-of-infection-sequences/description/,,,LC_Contests
Count Complete Substrings,2953,"December 4, 2023 12:02 PM",Medium,"December 4, 2023 12:03 PM",High,"No Idea At First, todo",,https://leetcode.com/problems/count-complete-substrings/,,,LC_Contests
Minimum Number of Coins to be Added,2952,"December 4, 2023 12:01 PM",Medium,"December 4, 2023 12:02 PM",High,"No Idea At First, todo",,https://leetcode.com/problems/minimum-number-of-coins-to-be-added/description/,,,LC_Contests
Number of Ways to Divide a Long Corridor,2147,"November 28, 2023 8:27 PM",Hard,"November 28, 2023 8:28 PM",,todo,,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor/,,,leetcode_daily
Maximum Strong Pair XOR II,2935,"November 12, 2023 7:15 PM",Hard,"November 12, 2023 7:21 PM",High,"More Solution, No Idea At First, todo","Array, Bit Manipulation, Hash, Trie",https://leetcode.com/problems/maximum-strong-pair-xor-ii/,,Maximum XOR of Two Numbers in an Array (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Maximum%20XOR%20of%20Two%20Numbers%20in%20an%20Array%20fb44a67db12049edab559786595df89b.csv),LC_Contests
Maximum XOR of Two Numbers in an Array,421,"November 12, 2023 7:15 PM",Medium,"November 12, 2023 7:18 PM",High,"More Solution, No Idea At First, todo","Array, Bit Manipulation, Hash, Trie",https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/description/,,Maximum Strong Pair XOR II (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Maximum%20Strong%20Pair%20XOR%20II%20c05395bc69534d28816172590340fa26.csv),leetcode_daily
Minimum Changes to Make K Semi-palindromes,2911,"October 22, 2023 9:59 PM",Hard,"October 22, 2023 9:59 PM",,"new, todo",,https://leetcode.com/problems/minimum-changes-to-make-k-semi-palindromes/description/,,,LC_Contests
Guess the Word,843,"October 3, 2022 11:09 PM",Hard,"October 18, 2023 3:50 AM",Medium,"Dig More, No Idea At First, todo","Game, miniMax",https://leetcode.com/problems/guess-the-word/,InProgress,,googleFreq
Count Valid Paths in a Tree,2867,"September 25, 2023 5:27 PM",Hard,"October 18, 2023 3:46 AM",High,"HardToImplement, No Idea At First, toRevisit, todo","DFS, DP, Graph, Tree",https://leetcode.com/problems/count-valid-paths-in-a-tree/description/,InProgress,Minimum Edge Weight Equilibrium Queries in a Tree (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Minimum%20Edge%20Weight%20Equilibrium%20Queries%20in%20a%20Tree%20ba9b8fbaf4f84f88b3432babdc3bf0fb.csv),LC_Contests
Apply Operations on Array to Maximize Sum of Squares,2897,"October 17, 2023 6:29 PM",Hard,"October 17, 2023 10:44 PM",,"new, todo",,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares/description/,InProgress,,
Minimum Edge Reversals So Every Node Is Reachable,2858,"October 17, 2023 6:31 PM",Hard,"October 17, 2023 10:42 PM",,"new, todo",,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable/description/,,,
String Transformation,2851,"October 17, 2023 6:32 PM",Hard,"October 17, 2023 10:42 PM",,"new, todo",,https://leetcode.com/problems/string-transformation/description/,,,
Maximum Number of K-Divisible Components,2872,"October 17, 2023 6:30 PM",Hard,"October 17, 2023 10:42 PM",,"new, todo",,https://leetcode.com/problems/maximum-number-of-k-divisible-components/description/,,,
Minimize the Total Price of the Trips,2646,"October 17, 2023 10:41 PM",Hard,"October 17, 2023 10:41 PM",,"new, todo",,https://leetcode.com/problems/minimize-the-total-price-of-the-trips/description/,,,
Design Cancellable Function,2650,"October 17, 2023 10:40 PM",Hard,"October 17, 2023 10:40 PM",,"new, todo",,https://leetcode.com/problems/design-cancellable-function/description/,,,
Make Array Empty,2659,"October 17, 2023 10:40 PM",Hard,"October 17, 2023 10:40 PM",,"new, todo",,https://leetcode.com/problems/make-array-empty/description/,,,
Lexicographically Smallest Beautiful String,2663,"October 17, 2023 10:39 PM",Hard,"October 17, 2023 10:39 PM",,"new, todo",,https://leetcode.com/problems/lexicographically-smallest-beautiful-string/description/,,,
Reconstruct Itinerary,332,"June 27, 2023 11:53 PM",Hard,"October 17, 2023 6:28 PM",High,"Dig More, No Idea At First, todo","DFS, EulerianPath, Graph",https://leetcode.com/problems/reconstruct-itinerary/,,,HuaHua
