Name,#,Created time,Difficult,Last edited time,Priority,Status,Tags,link,practicedTimes,related,source
Longest Increasing Subsequence,300,"August 18, 2022 11:47 AM",Medium,"October 22, 2023 12:20 AM",High,"More Solution, toRevisit","Array, BS_todo, DP, GoForth, PatienceSort, UsePreResults, dp-TimeSeqFromLastX",https://leetcode.com/problems/longest-increasing-subsequence/,1,"Number of Longest Increasing Subsequence (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Number%20of%20Longest%20Increasing%20Subsequence%20002a704f8f96414397bb7945631700c7.csv), Longest String Chain (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20String%20Chain%20454f01bd38334ac2addfd34384e6b23b.csv)","HuaHua, LC_Top_Interview_150, jiuzhang, wp动归套路, 算初DP"
Largest Divisible Subset,368,"August 18, 2022 12:25 PM",Medium,"October 22, 2023 12:14 AM",Medium,,"Array, DP, GoForth, UsePreResults, dp-TimeSeqFromLastX",https://leetcode.com/problems/largest-divisible-subset/,1,,"jiuzhang, wp动归套路, 算初DP"
House Robber,198,"September 9, 2022 12:06 PM",Medium,"October 29, 2023 10:31 PM",Pass,,"Array, DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/house-robber/,1,"House Robber III (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/House%20Robber%20III%203c624936740141239137d7cddd7f397f.csv), Delete and Earn (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Delete%20and%20Earn%20143e9e383cac4a1ebe91ff78831845a4.csv)","HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP上"
House Robber II,213,"September 9, 2022 12:14 PM",Medium,"October 29, 2023 9:06 PM",Pass,,"Array, DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/house-robber-ii/,1,,"HuaHua, jiuzhang, wp动归套路, 算高DP上"
Edit Distance,72,"September 10, 2022 10:10 AM",Hard,"October 29, 2023 9:07 PM",High,,"DP, Matrix, StringMatchToMatrix, dp-TwoSeq, string",https://leetcode.com/problems/edit-distance/,1,,"HuaHua, LC_75, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP上, 算高DP下"
Burst Balloons,312,"September 10, 2022 11:20 AM",Hard,"October 12, 2023 2:56 PM",Low,,"Array, DP, dp-Pyr",https://leetcode.com/problems/burst-balloons/,,,"HuaHua, jiuzhang, wp动归套路, 算高DP下"
Longest Common Subsequence,1143,"September 15, 2022 8:03 PM",Medium,"November 12, 2023 10:40 PM",Medium,,"StringMatchToMatrix, dp-TwoSeq",https://leetcode.com/problems/longest-common-subsequence/,1,,"AmazonFreq, LC_75, jiuzhang, wp动归套路, 算高DP下"
Distinct Subsequences,115,"September 15, 2022 8:57 PM",Hard,"October 12, 2023 2:56 PM",Medium,,"DP, StringMatchToMatrix, dp-TwoSeq",https://leetcode.com/problems/distinct-subsequences/,,,"HuaHua, jiuzhang, wp动归套路, 算高DP下"
Interleaving String,97,"September 15, 2022 9:25 PM",Medium,"October 29, 2023 10:48 PM",Medium,More Solution,"DP, StringMatchToMatrix, TopSorting, dp-TwoSeq",https://leetcode.com/problems/interleaving-string/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, wp动归套路, 算高DP下"
Best Time to Buy and Sell Stock III,123,"September 29, 2022 12:30 AM",Hard,"October 12, 2023 2:56 PM",Medium,,"DP, Game, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,,,"LC_Top_Interview_150, wp动归套路"
