Name,#,Created time,Difficult,Last edited time,Priority,Status,Tags,link,practicedTimes,related,source
Binary Search,704,"June 24, 2022 6:17 PM",Easy,"October 13, 2023 11:26 PM",Pass,,BS_Idx,https://leetcode.com/problems/binary-search/,1,,"HuaHua, jiuzhang, 算初BS"
First Bad Version,278,"June 25, 2022 6:15 PM",Easy,"October 13, 2023 11:35 PM",Pass,,BS_Idx,https://leetcode.com/problems/first-bad-version/,1,,"jiuzhang, 算初BS, 算高BS&SwipeLine"
[lint] Search in a Big Sorted Array,447,"June 26, 2022 10:59 AM",Medium,"October 12, 2023 2:57 PM",Low,,BS_Idx,https://www.lintcode.com/problem/search-in-a-big-sorted-array,1,,"jiuzhang, 算初BS"
[lint] Search a 2D Matrix II,38,"June 26, 2022 11:00 AM",Medium,"October 12, 2023 2:57 PM",Low,,BS_Idx,https://www.lintcode.com/problem/38/,1,,"jiuzhang, 算初BS"
[lint] Search for a Range,61,"June 26, 2022 11:00 AM",Medium,"October 12, 2023 2:57 PM",Pass,,BS_Idx,https://www.lintcode.com/problem/61/,1,,"jiuzhang, 算初BS"
Search a 2D Matrix,74,"June 26, 2022 11:00 AM",Medium,"October 12, 2023 2:57 PM",Low,,BS_Idx,https://leetcode.com/problems/search-a-2d-matrix/,1,,"LC_Top_Interview_150, jiuzhang, 算初BS"
Find Minimum in Rotated Sorted Array,153,"June 26, 2022 11:00 AM",Medium,"October 12, 2023 2:57 PM",Medium,,"BS_Idx, Divide and Conquer",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,1,Find Minimum in Rotated Sorted Array II (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20Minimum%20in%20Rotated%20Sorted%20Array%20II%207d3fc5585d744ed6b420a83fa07fb508.csv),"HuaHua, LC_Top_Interview_150, jiuzhang, 算初BS"
[lint] Total Occurrence of Target,462,"July 6, 2022 11:37 AM",Easy,"October 12, 2023 2:57 PM",Pass,,BS_Idx,https://www.lintcode.com/problem/total-occurrence-of-target/description,1,,"jiuzhang, 算初BS"
[lint] Find Peak Element II,390,"July 8, 2022 12:32 PM",Hard,"October 12, 2023 2:57 PM",Low,More Solution,BS_Idx,https://www.lintcode.com/problem/find-peak-element-ii/,1,,"jiuzhang, 算初BS, 算高BS&SwipeLine"
Smallest Rectangle Enclosing Black Pixels,302,"July 8, 2022 12:32 PM",Hard,"October 12, 2023 2:57 PM",Low,,"BFS, BS_Idx, Matrix",https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels/,1,,"jiuzhang, 算初BFS, 算初BS"
Search in Rotated Sorted Array,33,"July 8, 2022 12:32 PM",Medium,"October 12, 2023 2:57 PM",Low,,BS_Idx,https://leetcode.com/problems/search-in-rotated-sorted-array/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, leetcode_daily, 算初BS"
[lint] Maximum Number in Mountain Sequence,585,"July 8, 2022 12:32 PM",Medium,"October 12, 2023 2:57 PM",Low,,BS_Idx,https://www.lintcode.com/problem/585/,1,,"jiuzhang, 算初BS"
Find Peak Element,162,"July 8, 2022 12:32 PM",Medium,"October 12, 2023 2:57 PM",Low,,BS_Idx,https://leetcode.com/problems/find-peak-element/,1,,"LC_75, LC_Top_Interview_150, jiuzhang, 算初BS, 算高BS&SwipeLine"
[lint] Copy Books,437,"July 8, 2022 4:26 PM",Medium,"October 12, 2023 2:57 PM",Low,,BS_Val,https://www.lintcode.com/problem/437/,1,,"jiuzhang, 算初BS, 算高BS&SwipeLine"
[lint] Wood Cut,183,"July 8, 2022 4:26 PM",Hard,"October 12, 2023 2:57 PM",Low,,BS_Val,https://www.lintcode.com/problem/183/,1,,"jiuzhang, 算初BS, 算高BS&SwipeLine"
