Name,#,Created time,Difficult,Last edited time,Priority,Status,Tags,link,practicedTimes,related,source
Linked List Cycle,141,"July 29, 2022 10:58 PM",Easy,"October 13, 2023 1:04 PM",Pass,,"2pt_SameDir_FastDoubleSpeed, Cycle, Hash, LinkedList",https://leetcode.com/problems/linked-list-cycle/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, wisdompeak, 算初LinkedList&Array, 算高TwoPointers&PQ"
Linked List Cycle II,142,"August 1, 2022 5:35 PM",Medium,"October 13, 2023 1:04 PM",Low,,"2pt_SameDir_FastDoubleSpeed, Cycle, LinkedList",https://leetcode.com/problems/linked-list-cycle-ii/,1,,"jiuzhang, wisdompeak, 算初LinkedList&Array, 算高TwoPointers&PQ"
Kth Smallest Element in a Sorted Matrix,378,"August 15, 2022 9:30 PM",Medium,"October 21, 2023 1:22 PM",Medium,"CalcuComplexity, No Idea At First","BS_Val, PQ, kth",https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,1,"Kth Smallest Number in Multiplication Table (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Kth%20Smallest%20Number%20in%20Multiplication%20Table%20cc17c7c0be7945be91a361ee02bc6731.csv), K-th Smallest Prime Fraction (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/K-th%20Smallest%20Prime%20Fraction%207c951e5c8ed7479dac2997b627722d17.csv), Find K-th Smallest Pair Distance (../LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Find%20K-th%20Smallest%20Pair%20Distance%200447f8ad46f94f05991e0c16d880e076.csv)","HuaHua, jiuzhang, 算初Hash&Heap, 算高TwoPointers&PQ"
Remove Nth Node From End of List,19,"August 20, 2022 1:35 PM",Medium,"October 22, 2023 2:03 PM",Pass,,"2pt_SameDir_sameSpeed, LinkedList",https://leetcode.com/problems/remove-nth-node-from-end-of-list/,1,,"LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ"
Longest Substring Without Repeating Characters,3,"August 20, 2022 1:35 PM",Medium,"October 22, 2023 2:11 PM",Medium,,"2pt_SameDir_maxWin_chkValidBfrR, Hash, Sliding Window",https://leetcode.com/problems/longest-substring-without-repeating-characters/,1,,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ"
Longest Substring with At Most K Distinct Characters,340,"August 20, 2022 1:35 PM",Medium,"October 22, 2023 2:24 PM",Medium,,2pt_SameDir_maxWin_chkValidAftR,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,1,,"jiuzhang, 算高TwoPointers&PQ"
Minimum Size Subarray Sum,209,"August 20, 2022 1:35 PM",Medium,"November 17, 2023 1:01 AM",Low,More Solution,"2pt_SameDir_minWin_chkValidAftR, Sliding Window",https://leetcode.com/problems/minimum-size-subarray-sum/,1,,"LC_Top_Interview_150, jiuzhang, ticktokFreq, wisdompeak, 算高TwoPointers&PQ"
Minimum Window Substring,76,"August 20, 2022 1:35 PM",Hard,"October 22, 2023 6:34 PM",Medium,,"2pt_SameDir_minWin_chkValidAftR, Sliding Window",https://leetcode.com/problems/minimum-window-substring/,1,,"LC_Top_Interview_150, jiuzhang, 算高TwoPointers&PQ"
Middle of the Linked List,876,"August 22, 2022 12:54 AM",Easy,"December 24, 2023 11:41 PM",Medium,,2pt_SameDir_FastDoubleSpeed,https://leetcode.com/problems/middle-of-the-linked-list/,1,,"googleFreq, jiuzhang, 算高TwoPointers&PQ"
[lint] Kth Largest in N Arrays,543,"August 22, 2022 1:00 AM",Hard,"October 22, 2023 2:08 PM",Low,CalcuComplexity,PQ,https://www.lintcode.com/problem/kth-largest-in-n-arrays,1,,"jiuzhang, 算高TwoPointers&PQ"
[lint] Kth Smallest Sum In Two Sorted Arrays,465,"August 22, 2022 1:08 AM",Hard,"October 22, 2023 2:07 PM",Low,"More Solution, No Idea At First","BS_Idx, PQ",https://www.lintcode.com/problem/kth-smallest-sum-in-two-sorted-arrays,1,,"jiuzhang, 算高TwoPointers&PQ"
Kth Smallest Product of Two Sorted Arrays,2040,"August 22, 2022 1:16 AM",Hard,"October 22, 2023 7:06 PM",High,"More Solution, No Idea At First, toRevisit","2pt_SameDir_diffSpeed, BS_Idx, BS_Val, BS_lower_upper_bound, kth",https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/,1,,"jiuzhang, 算高TwoPointers&PQ"
